Variable;N;Mean;SD;N;Mean;SD;N;Mean;SD;Test;;;;;;
category_abs;brown;;;green;;;neutral;;;;;;;;;
"... Public administration and defence; compulsory social security";;;;;;;;;;;;;;;;
... Education;;;;;;;;;;;;;;;;
... Human health activities;;;;;;;;;;;;;;;;
... Residential care activities;;;;;;;;;;;;;;;;
... Social work activities without accommodation;;;;;;;;;;;;;;;;
... Creative;;;;;;;;;;;;;;;;
... Libraries;;;;;;;;;;;;;;;;
... Gambling and betting activities;;;;;;;;;;;;;;;;
... Sports activities and amusement and recreation activities;;;;;;;;;;;;;;;;
... Activities of membership organisations;;;;;;;;;;;;;;;;
... Repair of computers and personal and household goods;;;;;;;;;;;;;;;;
... Other personal service activities;;;;;;;;;;;;;;;;
... Activities of households as employers of domestic personnel;;;;;;;;;;;;;;;;
... Undifferentiated goods- and services-producing activities of private households for own use;;;;;;;;;;;;;;;;
... Activities of extraterritorial organisations and bodies;;;;;;;;;;;;;;;;
