Variable;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;Test;;;;;;
category_abs;brown;;;green;;;neutral;;;;;;;;;
... 3;600 to < 4;0;9;3.1%;;66;4.6%;;8292;2.4%;;;;;;
... 4;000 to < 4;500;4;1.2%;;42;2.8%;;7185;2.1%;;;;;;
... 4;500 to < 5;0;6;2%;;42;2.9%;;4514;1.3%;;;;;;
... 5;000 to < 5;500;0;0%;;19;1.3%;;3060;0.9%;;;;;;
... 5;500 to < 6;0;;;;;;;;;;;;;;
... 6;000 to < 7;500;;;;;;;;;;;;;;
... 7;500 to < 10;0;;;;;;;;;;;;;;
... 10;000 to < 18;0;;;;;;;;;;;;;;
... > 18;0;0;0%;;0;0%;;259;0.1%;;;;;;;
EF442_num;333;2.292.094;931.163;1388;2.413.996;1.368.493;341187;2.009.825;1.410.332;F=63.615***;;;;;;
EF114UG4;349;;;1556;;;385670;;;;;;;;;
... Occupations in agriculture; forestry; farming; and gardening;0;0%;;131;8.2%;;7790;2%;;;;;
... Occupations in production of raw materials and goods; and manufacturing;129;37.6%;;486;31%;;72532;19%;;;;;;;
... Occupations in construction; architecture; surveying and technical building services;;;;;;;;;;;;;;
... Occupations in natural sciences; geography and informatics;;;;;;;;;;;;;;;
... Occupations in traffic; logistics; safety and security;0;0%;;0;0%;;48932;13%;;;;;;
... Occupations in commercial services; trading; sales; the hotel business and tourism;0;0%;;0;0%;;46314;12.1%;;;;;
... Occupations in business organisation; accounting; law and administration;0;0%;;0;0%;;81827;20.7%;;;;;;
... Occupations in health care; the social sector; teaching and education;0;0%;;0;0%;;77395;19.8%;;;;;;
... Occupations in philology; literature; humanities; social sciences; economics; media; art; culture; and design;0;0%;;0;0%;;12134;3.2%
... Military occupations;0;0%;;0;0%;;1440;0.4%;;;;;;;;
EF137UG1;349;;;1556;;;385670;;;;;;;;;
... Crop and animal production;;;;;;;;;;;;;;;;
... Forestry and logging;;;;;;;;;;;;;;;;
... Fishing and aquaculture;;;;;;;;;;;;;;;;
... Mining of coal and lignite;;;;;;;;;;;;;;;;
... Extraction of crude petroleum and natural gas;;;;;;;;;;;;;;;;
... Mining of metal ores;;;;;;;;;;;;;;;;
... Other mining and quarrying;;;;;;;;;;;;;;;;
... Mining support service activities;;;;;;;;;;;;;;;;
... Manufacture of food products;;;;;;;;;;;;;;;;
... Manufacture of beverages;;;;;;;;;;;;;;;;
... Manufacture of tobacco products;;;;;;;;;;;;;;;;
... Manufacture of textiles;;;;;;;;;;;;;;;;
... Manufacture of wearing apparel;;;;;;;;;;;;;;;;
... Manufacture of leather and related products;;;;;;;;;;;;;;;;
... Manufacture of wood and of products of wood and cork;;;;;;;;;;;;;;;;
... Manufacture of paper and paper products;;;;;;;;;;;;;;;;
... Printing and reproduction of recorded media;;;;;;;;;;;;;;;;
... Manufacture of coke and refined petroleum products;;;;;;;;;;;;;;;;
... Manufacture of chemicals and chemical products;;;;;;;;;;;;;;;;
... Manufacture of basic pharmaceutical products and pharmaceutical preparations;;;;;;;;;;;;;;;;
... Manufacture of rubber and plastic products;;;;;;;;;;;;;;;;
... Manufacture of other non-metallic mineral products;;;;;;;;;;;;;;;;
... Manufacture of basic metals;;;;;;;;;;;;;;;;
... Manufacture of fabricated metal products;;;;;;;;;;;;;;;;
... Manufacture of computer;;;;;;;;;;;;;;;;
... Manufacture of electrical equipment;;;;;;;;;;;;;;;;
... Manufacture of machinery and equipment n.e.c.;;;;;;;;;;;;;;;;
... Manufacture of motor vehicles;;;;;;;;;;;;;;;;
... Manufacture of other transport equipment;;;;;;;;;;;;;;;;
... Manufacture of furniture;;;;;;;;;;;;;;;;
... Other manufacturing;;;;;;;;;;;;;;;;
... Repair and installation of machinery and equipment;;;;;;;;;;;;;;;;
... Electricity;;;;;;;;;;;;;;;;
... Water collection;;;;;;;;;;;;;;;;
... Sewerage;;;;;;;;;;;;;;;;
... Waste collection;;;;;;;;;;;;;;;;
... Remediation activities and other waste management services;;;;;;;;;;;;;;;;
... Construction of buildings;;;;;;;;;;;;;;;;
... Civil engineering;;;;;;;;;;;;;;;;
... Specialised construction activities;;;;;;;;;;;;;;;;
... Wholesale and retail trade and repair of motor vehicles and motorcycles;;;;;;;;;;;;;;;;
... Wholesale trade;;;;;;;;;;;;;;;;
... Retail trade;;;;;;;;;;;;;;;;
... Land transport and transport via pipelines;;;;;;;;;;;;;;;;
... Water transport;;;;;;;;;;;;;;;;
... Air transport;;;;;;;;;;;;;;;;
... Warehousing and support activities for transportation;;;;;;;;;;;;;;;;
... Postal and courier activities;;;;;;;;;;;;;;;;
... Accommodation;;;;;;;;;;;;;;;;
... Food and beverage service activities;;;;;;;;;;;;;;;;
... Publishing activities;;;;;;;;;;;;;;;;
... Motion picture;;;;;;;;;;;;;;;;
... Programming and broadcasting activities;;;;;;;;;;;;;;;;
... Telecommunications;;;;;;;;;;;;;;;;
... Computer programming;;;;;;;;;;;;;;;;
... Information service activities;;;;;;;;;;;;;;;;
... Financial service activities;;;;;;;;;;;;;;;;
... Insurance;;;;;;;;;;;;;;;;
... Activities auxiliary to financial services and insurance activities;;;;;;;;;;;;;;;;
... Real estate activities;;;;;;;;;;;;;;;;
... Legal and accounting activities;;;;;;;;;;;;;;;;
"... Activities of head offices; management consultancy activities";;;;;;;;;;;;;;;;
"... Architectural and engineering activities; technical testing and analysis";;;;;;;;;;;;;;;;
... Scientific research and development;;;;;;;;;;;;;;;;
... Advertising and market research;;;;;;;;;;;;;;;;
... Other professional;;;;;;;;;;;;;;;;
... Veterinary activities;;;;;;;;;;;;;;;;
... Rental and leasing activities;;;;;;;;;;;;;;;;
... Employment activities;;;;;;;;;;;;;;;;
... Travel agency;;;;;;;;;;;;;;;;
... Security and investigation activities;;;;;;;;;;;;;;;;
... Services to buildings and landscape activities;;;;;;;;;;;;;;;;
... Office administrative;;;;;;;;;;;;;;;;
"... Public administration and defence; compulsory social security";;;;;;;;;;;;;;;;
... Education;;;;;;;;;;;;;;;;
... Human health activities;;;;;;;;;;;;;;;;
... Residential care activities;;;;;;;;;;;;;;;;
... Social work activities without accommodation;;;;;;;;;;;;;;;;
... Creative;;;;;;;;;;;;;;;;
... Libraries;;;;;;;;;;;;;;;;
... Gambling and betting activities;;;;;;;;;;;;;;;;
... Sports activities and amusement and recreation activities;;;;;;;;;;;;;;;;
... Activities of membership organisations;;;;;;;;;;;;;;;;
... Repair of computers and personal and household goods;;;;;;;;;;;;;;;;
... Other personal service activities;;;;;;;;;;;;;;;;
... Activities of households as employers of domestic personnel;;;;;;;;;;;;;;;;
... Undifferentiated goods- and services-producing activities of private households for own use;;;;;;;;;;;;;;;;
... Activities of extraterritorial organisations and bodies;;;;;;;;;;;;;;;;
