"Variable","N","Wt. Mean","Wt. SD","N","Wt. Mean","Wt. SD","Test"
"category_rel","brown","","","neutral","","",""
"... Postal and courier activities","0","0%","","0","0%","",""
"... Accommodation","0","0%","","0","0%","",""
"... Food and beverage service activities","0","0%","","0","0%","",""
"... Publishing activities","0","0%","","0","0%","",""
"... Motion picture, video and television programme production, sound recording and music publishing activities","0","0%","","0","0%","",""
"... Programming and broadcasting activities","0","0%","","0","0%","",""
"... Telecommunications","0","0%","","0","0%","",""
"... Computer programming, consultancy and related activities","0","0%","","0","0%","",""
"... Information service activities","0","0%","","0","0%","",""
"... Financial service activities, except insurance and pension funding","0","0%","","0","0%","",""
"... Insurance, reinsurance and pension funding, except compulsory social security","0","0%","","0","0%","",""
"... Activities auxiliary to financial services and insurance activities","0","0%","","0","0%","",""
"... Real estate activities","0","0%","","0","0%","",""
"... Legal and accounting activities","0","0%","","0","0%","",""
"... Activities of head offices; management consultancy activities","0","0%","","0","0%","",""
"... Architectural and engineering activities; technical testing and analysis","0","0%","","0","0%","",""
"... Scientific research and development","0","0%","","0","0%","",""
"... Advertising and market research","0","0%","","0","0%","",""
"... Other professional, scientific and technical activities","0","0%","","0","0%","",""
"... Veterinary activities","0","0%","","0","0%","",""
"... Rental and leasing activities","0","0%","","0","0%","",""
"... Employment activities","0","0%","","0","0%","",""
"... Travel agency, tour operator and other reservation service and related activities","0","0%","","0","0%","",""
"... Security and investigation activities","0","0%","","0","0%","",""
"... Services to buildings and landscape activities","0","0%","","0","0%","",""
"... Office administrative, office support and other business support activities","0","0%","","0","0%","",""
"... Public administration and defence; compulsory social security","0","0%","","0","0%","",""
"... Education","0","0%","","0","0%","",""
"... Human health activities","0","0%","","0","0%","",""
"... Residential care activities","0","0%","","0","0%","",""
"... Social work activities without accommodation","0","0%","","0","0%","",""
"... Creative, arts and entertainment activities","42","78.8%","","280","79.4%","",""
"... Libraries, archives, museums and other cultural activities","0","0%","","0","0%","",""
"... Gambling and betting activities","0","0%","","0","0%","",""
"... Sports activities and amusement and recreation activities","0","0%","","0","0%","",""
"... Activities of membership organisations","0","0%","","0","0%","",""
"... Repair of computers and personal and household goods","0","0%","","4","1.1%","",""
"... Other personal service activities","0","0%","","6","1.6%","",""
"... Activities of households as employers of domestic personnel","0","0%","","0","0%","",""
"... Undifferentiated goods- and services-producing activities of private households for own use","0","0%","","0","0%","",""
"... Activities of extraterritorial organisations and bodies","0","0%","","0","0%","",""
