"Variable","N","Mean","SD","N","Mean","SD","Test"
"category_rel","brown","","","neutral","","",""
"... Mining of coal and lignite","0","0%","","0","0%","",""
"... Extraction of crude petroleum and natural gas","0","0%","","0","0%","",""
"... Mining of metal ores","0","0%","","0","0%","",""
"... Other mining and quarrying","0","0%","","0","0%","",""
"... Mining support service activities","1","1.9%","","6","1.7%","",""
"... Manufacture of food products","0","0%","","0","0%","",""
"... Manufacture of beverages","0","0%","","0","0%","",""
"... Manufacture of tobacco products","0","0%","","0","0%","",""
"... Manufacture of textiles","0","0%","","0","0%","",""
"... Manufacture of wearing apparel","0","0%","","0","0%","",""
"... Manufacture of leather and related products","0","0%","","0","0%","",""
"... Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","0","0%","","0","0%","",""
"... Manufacture of paper and paper products","0","0%","","0","0%","",""
"... Printing and reproduction of recorded media","0","0%","","0","0%","",""
"... Manufacture of coke and refined petroleum products","0","0%","","0","0%","",""
"... Manufacture of chemicals and chemical products","0","0%","","0","0%","",""
"... Manufacture of basic pharmaceutical products and pharmaceutical preparations","0","0%","","0","0%","",""
"... Manufacture of rubber and plastic products","0","0%","","0","0%","",""
"... Manufacture of other non-metallic mineral products","0","0%","","0","0%","",""
"... Manufacture of basic metals","0","0%","","0","0%","",""
"... Manufacture of fabricated metal products, except machinery and equipment","0","0%","","0","0%","",""
"... Manufacture of computer, electronic and optical products","0","0%","","0","0%","",""
"... Manufacture of electrical equipment","0","0%","","0","0%","",""
"... Manufacture of machinery and equipment n.e.c.","0","0%","","0","0%","",""
"... Manufacture of motor vehicles, trailers and semi-trailers","9","17%","","56","15.6%","",""
"... Manufacture of other transport equipment","0","0%","","0","0%","",""
"... Manufacture of furniture","0","0%","","0","0%","",""
"... Other manufacturing","0","0%","","0","0%","",""
"... Repair and installation of machinery and equipment","0","0%","","0","0%","",""
"... Electricity, gas, steam and air conditioning supply","0","0%","","0","0%","",""
"... Water collection, treatment and supply","0","0%","","0","0%","",""
"... Sewerage","0","0%","","0","0%","",""
"... Waste collection, treatment and disposal activities; materials recovery","0","0%","","0","0%","",""
"... Remediation activities and other waste management services","1","1.9%","","7","1.9%","",""
"... Construction of buildings","0","0%","","0","0%","",""
"... Civil engineering","0","0%","","0","0%","",""
"... Specialised construction activities","0","0%","","0","0%","",""
"... Wholesale and retail trade and repair of motor vehicles and motorcycles","0","0%","","0","0%","",""
"... Wholesale trade, except of motor vehicles and motorcycles","0","0%","","0","0%","",""
"... Retail trade, except of motor vehicles and motorcycles","0","0%","","0","0%","",""
"... Land transport and transport via pipelines","0","0%","","0","0%","",""
"... Water transport","0","0%","","0","0%","",""
"... Air transport","0","0%","","0","0%","",""
"... Warehousing and support activities for transportation","0","0%","","0","0%","",""
"... Postal and courier activities","0","0%","","0","0%","",""
"... Accommodation","0","0%","","0","0%","",""
"... Food and beverage service activities","0","0%","","0","0%","",""
"... Publishing activities","0","0%","","0","0%","",""
"... Motion picture, video and television programme production, sound recording and music publishing activities","0","0%","","0","0%","",""
"... Programming and broadcasting activities","0","0%","","0","0%","",""
"... Telecommunications","0","0%","","0","0%","",""
"... Computer programming, consultancy and related activities","0","0%","","0","0%","",""
"... Information service activities","0","0%","","0","0%","",""
"... Financial service activities, except insurance and pension funding","0","0%","","0","0%","",""
"... Insurance, reinsurance and pension funding, except compulsory social security","0","0%","","0","0%","",""
"... Activities auxiliary to financial services and insurance activities","0","0%","","0","0%","",""
"... Real estate activities","0","0%","","0","0%","",""
"... Legal and accounting activities","0","0%","","0","0%","",""
"... Activities of head offices; management consultancy activities","0","0%","","0","0%","",""
"... Architectural and engineering activities; technical testing and analysis","0","0%","","0","0%","",""
"... Scientific research and development","0","0%","","0","0%","",""
"... Advertising and market research","0","0%","","0","0%","",""
"... Other professional, scientific and technical activities","0","0%","","0","0%","",""
"... Veterinary activities","0","0%","","0","0%","",""
"... Rental and leasing activities","0","0%","","0","0%","",""
"... Employment activities","0","0%","","0","0%","",""
"... Travel agency, tour operator and other reservation service and related activities","0","0%","","0","0%","",""
"... Security and investigation activities","0","0%","","0","0%","",""
"... Services to buildings and landscape activities","0","0%","","0","0%","",""
"... Office administrative, office support and other business support activities","0","0%","","0","0%","",""
"... Public administration and defence; compulsory social security","0","0%","","0","0%","",""
"... Education","0","0%","","0","0%","",""
"... Human health activities","0","0%","","0","0%","",""
"... Residential care activities","0","0%","","0","0%","",""
"... Social work activities without accommodation","0","0%","","0","0%","",""
"... Creative, arts and entertainment activities","42","79.2%","","280","78%","",""
"... Libraries, archives, museums and other cultural activities","0","0%","","0","0%","",""
"... Gambling and betting activities","0","0%","","0","0%","",""
"... Sports activities and amusement and recreation activities","0","0%","","0","0%","",""
"... Activities of membership organisations","0","0%","","0","0%","",""
"... Repair of computers and personal and household goods","0","0%","","4","1.1%","",""
"... Other personal service activities","0","0%","","6","1.7%","",""
"... Activities of households as employers of domestic personnel","0","0%","","0","0%","",""
"... Undifferentiated goods- and services-producing activities of private households for own use","0","0%","","0","0%","",""
"... Activities of extraterritorial organisations and bodies","0","0%","","0","0%","",""
