EF189,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
"Schleswig-Holstein, Hamburg, Bremen, Saarland, Berlin, Mecklenburg-Western Pomerania, Saxony-Anhalt, Thuringia, Brandenburg",83,8469.084,0,84.19244444444445,8384.891555555556,0,0.00994115118523378,0.9900588488147661
Braunschweig (Lower Saxony),7,733.499,0,12.337,721.162,0,0.016819382166846853,0.9831806178331531
Hannover (Lower Saxony),10,1092.635,0,22.266333333333332,1070.3686666666667,0,0.02037856496756312,0.9796214350324369
Lueneburg (Lower Saxony),12,1285.684,0,26.017222222222216,1259.6667777777777,0,0.02023609395638603,0.979763906043614
Weser-Ems (Lower Saxony),13,1325.532,0,37.61911111111111,1287.9128888888888,0,0.028380386977538915,0.971619613022461
Duesseldorf (North Rhine-Westphalia),29,3744.948,0,54.06688888888888,3690.8811111111113,0,0.014437286950016098,0.985562713049984
Koeln (North Rhine-Westphalia),33,3739.679,0,46.70133333333333,3692.9776666666667,0,0.012488059358392346,0.9875119406416076
Muenster (North Rhine-Westphalia),12,1504.708,0,0,1504.708,0,0,1
Detmold (North Rhine-Westphalia),5,521.016,0,11.07722222222222,509.9387777777778,0,0.021260810075357035,0.978739189924643
Arnsberg (North Rhine-Westphalia),10,1097.711,0,12.757,1084.954,0,0.011621455920547393,0.9883785440794526
Darmstadt (Hessen),27,2970.691,0,10.278444444444444,2960.4125555555556,0,0.0034599507133001865,0.9965400492866999
Gießen (Hessen),9,1028.234,0,12.462333333333333,1015.7716666666666,0,0.012120133484531084,0.987879866515469
Kassel (Hessen),5,486.851,0,20.124333333333333,466.7266666666667,0,0.041335713253815506,0.9586642867461845
Region Koblenz (Rhineland-Palatinate),10,1174.87,0,36.10411111111111,1138.7658888888889,0,0.030730303021705475,0.9692696969782946
Region Trier (Rhineland-Palatinate),2,289.068,0,0,289.068,0,0,1
Region Rheinhessen-Pfalz (Rhineland-Palatinate),10,1057.337,0,22.454666666666665,1034.8823333333332,0,0.021237000754411,0.978762999245589
Stuttgart (Baden-Wuerttemberg),22,2296.245,0,82.50577777777778,2213.7392222222225,0,0.03593073813019856,0.9640692618698016
Karlsruhe (Baden-Wuerttemberg),10,808.748,0,6.686222222222222,802.0617777777778,0,0.00826737404262171,0.9917326259573783
Freiburg (Baden-Wuerttemberg),11,1028.427,0,4.898888888888889,1023.5281111111111,0,0.004763477513609512,0.9952365224863906
Tuebingen (Baden-Wuerttemberg),14,1450.484,0,11.772555555555556,1438.7114444444444,0,0.008116294668231815,0.9918837053317682
Oberbayern (Bavaria),15,1769.088,0,7.044555555555555,1762.0434444444445,0,0.003982026646246854,0.9960179733537532
Niederbayern (Bavaria),6,1215.442,0,19.329666666666668,1196.1123333333335,0,0.015903405235845616,0.9840965947641545
Oberpfalz (Bavaria),1,105.486,0,0,105.486,0,0,1
Oberfranken (Bavaria),6,687.711,0,24.76522222222222,662.9457777777777,0,0.036011089283466774,0.9639889107165331
Mittelfranken (Bavaria),10,1109.769,0,26.27233333333333,1083.4966666666667,0,0.023673695456742194,0.9763263045432578
Unterfranken (Bavaria),14,1514.993,0,0,1514.993,0,0,1
Schwaben (Bavaria),8,897.692,0,13.272222222222222,884.4197777777778,0,0.01478482845143125,0.9852151715485687
Chemnitz (Saxony),7,753.707,0,8.533444444444445,745.1735555555556,0,0.01132196522580319,0.9886780347741969
Dresden (Saxony),3,240.381,0,0,240.381,0,0,1
Leipzig (Saxony),3,341.971,0,14.344555555555555,327.6264444444445,0,0.0419467017833546,0.9580532982166454
NA,5,648.994,0,11.967444444444443,637.0265555555555,0,0.018439992425884434,0.9815600075741155
