EF137,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Manufacture of man-made fibres,416,45477.447,278.3637468,1097.173694,44101.90956,0.006120919,0.024125666,0.969753416
Manufacture of basic pharmaceutical products,33,3825.165,9.808454545,60.83204261,3754.524503,0.002564191,0.015903116,0.981532693
Manufacture of pharmaceutical preparations,1514,166054.589,926.7413406,1771.712496,163356.1352,0.005580944,0.010669458,0.983749598
Manufacture of rubber products,563,61427.657,261.1088604,1016.954596,60149.59354,0.004250673,0.016555321,0.979194006
Manufacture of plastics products,2760,303731.872,1010.397654,3645.109609,299076.3647,0.003326611,0.012001077,0.984672312
Manufacture of glass and glass products,543,61896.734,734.679369,1565.479444,59596.57519,0.011869437,0.025291794,0.962838769
Manufacture of refractory products,74,7786.789,136.0234286,109.5444304,7541.221141,0.017468488,0.014067985,0.968463527
Manufacture of clay building materials,107,11816.549,39.62304545,121.627725,11655.29823,0.003353183,0.010292999,0.986353819
Manufacture of other porcelain and ceramic products,278,30317.462,68.83878896,320.5985659,29928.02465,0.002270599,0.010574717,0.987154685
"Manufacture of cement, lime and plaster",143,15387.7,163.4093029,376.5640232,14847.72667,0.010619475,0.024471755,0.96490877
"Manufacture of articles of concrete, cement and plaster",480,52275.704,696.5240205,528.1751831,51051.0048,0.013324049,0.010103646,0.976572306
"Cutting, shaping and finishing of stone",247,27241.208,21.06118182,40.37852721,27179.76829,7.73E-04,0.001482259,0.997744604
Manufacture of abrasive products and non-metallic mineral products n.e.c.,103,11570.691,172.7028214,169.018293,11228.96989,0.014925887,0.01460745,0.970466663
Manufacture of basic iron and steel and of ferro-alloys,525,57469.909,357.7908019,837.0213696,56275.09683,0.006225707,0.014564515,0.979209778
"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",267,29705.963,99.24563059,595.0080024,29011.70937,0.003340933,0.020029918,0.976629149
Manufacture of other products of first processing of steel,149,16869.282,97.97892857,185.1222017,16586.18087,0.005808127,0.010973923,0.98321795
Manufacture of basic precious and other non-ferrous metals,332,37480.91,199.9356529,582.1071054,36698.86724,0.005334333,0.015530762,0.979134905
Casting of metals,812,90765.463,160.03225,1076.781257,89528.64949,0.00176314,0.011863337,0.986373523
Manufacture of structural metal products,2745,301844.18,690.6047363,3110.631302,298042.944,0.002287951,0.010305421,0.987406628
"Manufacture of tanks, reservoirs and containers of metal",98,10874.663,183.38925,199.8790205,10491.39473,0.016863902,0.01838025,0.964755848
"Manufacture of steam generators, except central heating hot water boilers",26,3052.217,84.37993478,122.9117854,2844.92528,0.027645457,0.040269675,0.932084868
Manufacture of weapons and ammunition,70,7677.127,64.79869231,68.92129633,7543.407011,0.008440487,0.008977486,0.982582027
"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",294,32767.64,61.90920682,487.2681873,32218.46261,0.00188934,0.014870408,0.983240252
Treatment and coating of metals; machining,2209,245075.543,333.7837381,3694.19259,241047.5667,0.001361963,0.015073689,0.983564348
"Manufacture of cutlery, tools and general hardware",1569,172912.748,394.666999,1525.726634,170992.3544,0.002282463,0.008823679,0.988893857
Manufacture of other fabricated metal products,653,71031.582,254.6238425,927.7182259,69849.23993,0.003584657,0.013060644,0.983354699
Manufacture of electronic components and boards,1738,192312.137,1953.264287,2171.466818,188187.4059,0.01015674,0.011291366,0.978551894
Manufacture of computers and peripheral equipment,382,42214.91,273.3684989,195.4948969,41746.0466,0.006475639,0.004630944,0.988893417
Manufacture of communication equipment,962,105106.494,478.0182659,540.7294894,104087.7462,0.004547942,0.005144587,0.990307471
Manufacture of consumer electronics,193,21678.725,227.3002351,142.2895634,21309.1352,0.010484945,0.006563558,0.982951497
"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks",841,91937.609,910.5029953,964.0888589,90063.01715,0.009903488,0.010486338,0.979610174
"Manufacture of irradiation, electromedical and electrotherapeutic equipment",224,24780.234,137.4825682,190.0929518,24452.65848,0.005548074,0.007671152,0.986780774
Manufacture of optical instruments and photographic equipment,366,40722.451,184.0269432,217.717836,40320.70622,0.004519054,0.005346383,0.990134563
Manufacture of magnetic and optical media,134,14896.956,16.52824286,31.12914286,14849.29861,0.001109505,0.002089631,0.996800864
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",1102,121299.047,1475.489208,1818.203632,118005.3542,0.012164063,0.01498943,0.972846507
Manufacture of batteries and accumulators,128,14332.705,48.78491071,230.9548173,14052.96527,0.003403748,0.016113833,0.980482419
Manufacture of wiring and wiring devices,325,35608.082,242.507369,319.0445217,35046.53011,0.006810459,0.008959891,0.984229651
Manufacture of electric lighting equipment,313,34610.029,467.8861845,327.1630868,33814.97973,0.013518804,0.009452841,0.977028356
Manufacture of domestic appliances,510,56810.48,425.4139869,461.0446016,55924.02141,0.007488301,0.008115485,0.984396214
Manufacture of other electrical equipment,271,29805.955,198.3633792,297.4358172,29310.1558,0.006655159,0.009979074,0.983365767
Manufacture of general-purpose machinery,1652,185241.412,2152.119821,3315.827455,179773.4647,0.01161792,0.017900033,0.970482047
Manufacture of other general-purpose machinery,2297,252173.377,2255.16854,3771.951878,246146.2566,0.008942929,0.014957772,0.976099299
Manufacture of agricultural and forestry machinery,367,41219.278,188.8289308,400.3645382,40630.08453,0.004581083,0.009713041,0.985705876
Manufacture of metal forming machinery and machine tools,5178,576073.791,2432.083476,6427.968789,567213.7387,0.004221826,0.011158239,0.984619935
Manufacture of other special-purpose machinery,3548,390192.44,2333.840194,4477.167347,383381.4325,0.005981254,0.011474254,0.982544491
Manufacture of motor vehicles,6747,738479.667,5069.143327,10933.86779,722476.6559,0.006864296,0.014805916,0.978329788
Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,421,47488.67,216.0114462,937.4323311,46335.22622,0.004548694,0.019740126,0.97571118
Manufacture of parts and accessories for motor vehicles,3910,431885.407,3256.659268,5339.601765,423289.146,0.007540563,0.012363469,0.980095968
Building of ships and boats,366,41943.781,59.4236877,961.0495731,40923.30774,0.001416746,0.022912803,0.975670451
Manufacture of railway locomotives and rolling stock,285,31573.093,377.5483095,587.3045859,30608.2401,0.011957913,0.018601427,0.96944066
Manufacture of air and spacecraft and related machinery,1141,127460.467,822.1657354,1056.454181,125581.8471,0.006450359,0.008288485,0.985261156
Manufacture of military fighting vehicles,38,4064.728,0,125.1320852,3939.595915,0,0.030784861,0.969215139
Manufacture of transport equipment n.e.c.,236,26126.215,69.44595455,353.4894312,25703.27961,0.002658095,0.013530067,0.983811839
Manufacture of furniture,1088,120343.705,229.6938442,398.8251155,119715.186,0.001908649,0.00331405,0.994777301
"Manufacture of jewellery, bijouterie and related articles",223,24616.099,20.07051786,165.7900222,24430.23846,8.15E-04,0.006735024,0.992449635
Manufacture of musical instruments,99,11812.855,0,4.765292308,11808.08971,0,4.03E-04,0.999596601
Manufacture of sports goods,81,9239.444,54.037,60.61306884,9124.793931,0.005848512,0.006560251,0.987591237
Manufacture of games and toys,476,52829.485,367.7962429,391.0597441,52070.62901,0.00696195,0.007402301,0.985635749
Manufacture of medical and dental instruments and supplies,2469,272661.669,587.7592032,1078.661692,270995.2481,0.002155636,0.003956044,0.99388832
Manufacturing n.e.c.,384,41691.758,197.9627018,323.1149143,41170.68038,0.004748245,0.007750091,0.987501664
"Repair of fabricated metal products, machinery and equipment",713,77879.481,384.853139,751.0736203,76743.55424,0.00494165,0.00964405,0.9854143
Installation of industrial machinery and equipment,765,85347.891,906.6680958,1578.998982,82862.22392,0.010623204,0.018500738,0.970876057
"Electric power generation, transmission and distribution",2881,312488.21,19780.12196,7935.811673,284772.2764,0.063298778,0.025395555,0.911305666
Manufacture of gas; distribution of gaseous fuels through mains,81,8960.752,311.9357514,364.1571075,8284.659141,0.034811336,0.040639124,0.92454954
Steam and air conditioning supply,101,11657.437,720.6061739,467.6521227,10469.1787,0.061815146,0.040116204,0.89806865
"Water collection, treatment and supply",191,20319.101,1896.303912,1461.222601,16961.57449,0.093326172,0.071913743,0.834760085
Sewerage,328,34980.826,4067.909919,3016.783558,27896.13252,0.116289705,0.086241061,0.797469234
Waste collection,474,52515.888,10805.36088,328.8686326,41381.65849,0.205754131,0.006262269,0.7879836
Waste treatment and disposal,537,60019.288,7536.236777,922.1486591,51560.90256,0.125563582,0.015364205,0.859072213
Materials recovery,651,71889.463,10105.13557,859.7902629,60924.53717,0.140564905,0.011959893,0.847475202
Remediation activities and other waste management services,174,19334.566,2525.472127,546.8129094,16262.28096,0.130619541,0.028281623,0.841098836
Development of building projects,69,7490.419,0,0,7490.419,0,0,1
Construction of residential and non-residential buildings,4772,542131.505,2094.851471,2518.35576,537518.2978,0.003864102,0.004645286,0.991490612
Construction of roads and railways,1534,170677.309,994.5005624,3619.825244,166062.9832,0.005826788,0.021208591,0.972964621
Construction of utility projects,823,91910.71,2376.953677,11814.88223,77718.87409,0.025861553,0.128547394,0.845591053
Construction of other civil engineering projects,274,29629.7,648.8795236,480.1887092,28500.63177,0.021899632,0.01620633,0.961894038
Demolition and site preparation,379,44799.26,944.1244409,1505.61564,42349.51992,0.021074554,0.033608047,0.945317399
"Electrical, plumbing and other construction installation activities",7140,802374.946,6145.63305,34585.03861,761644.2743,0.007659303,0.043103338,0.949237359
Building completion and finishing,6276,708605.927,555.7207165,1885.092118,706165.1142,7.84E-04,0.002660283,0.996555472
Other specialised construction activities,4444,497468.735,2618.809214,13152.00941,481697.9164,0.005264269,0.026437861,0.96829787
Sale of motor vehicles,2765,305883.026,312.6469091,3370.158961,302200.2201,0.001022113,0.011017803,0.987960084
Maintenance and repair of motor vehicles,3475,387737.127,202.3272955,13097.02586,374437.7738,5.22E-04,0.033778106,0.965700078
Sale of motor vehicle parts and accessories,1541,172494.837,873.3508111,1364.011463,170257.4747,0.005063055,0.00790755,0.987029396
"Sale, maintenance and repair of motorcycles and related parts and accessories",342,37459.875,119.2175114,488.2762661,36852.38122,0.003182539,0.013034648,0.983782814
Wholesale on a fee or contract basis,6005,663721.996,3733.41363,4530.353696,655458.2287,0.005624966,0.00682568,0.987549354
Wholesale of agricultural raw materials and live animals,352,38921.991,235.5535909,79.24315014,38607.19426,0.006051941,0.002035948,0.991912111
"Wholesale of food, beverages and tobacco",868,99285.773,707.4237,147.3607426,98430.98856,0.007125127,0.001484208,0.991390665
Wholesale of household goods,1931,212576.55,523.4575695,633.6342837,211419.4581,0.002462443,0.002980735,0.994556823
Wholesale of information and communication equipment,356,39696.106,151.4376036,236.511196,39308.1572,0.003814923,0.005958045,0.990227031
"Wholesale of other machinery, equipment and supplies",1746,194024.553,897.2429264,1251.821378,191875.4887,0.004624378,0.006451871,0.988923751
Other specialised wholesale,2623,287514.144,2916.743733,1441.132501,283156.2678,0.010144697,0.005012388,0.984842915
Non-specialised wholesale trade,75,8044.586,93.51154545,2.501210526,7948.573244,0.011624159,3.11E-04,0.988064923
Retail sale in non-specialised stores,5203,576179.356,554.1412027,170.5795264,575454.6353,9.62E-04,2.96E-04,0.998742196
"Retail sale of food, beverages and tobacco in specialised stores",7377,819415.392,1339.637089,337.315745,817738.4392,0.001634869,4.12E-04,0.997953477
Retail sale of automotive fuel in specialised stores,787,86311.524,42.29463636,72.20574798,86197.02362,4.90E-04,8.37E-04,0.998673406
Retail sale of information and communication equipment in specialised stores,670,74437.209,250.5148756,86.6149967,74100.07913,0.003365452,0.001163598,0.99547095
Retail sale of other household equipment in specialised stores,4688,517653.531,1007.603419,757.5029398,515888.4246,0.001946482,0.00146334,0.996590178
Retail sale of cultural and recreation goods in specialised stores,1109,121652.757,29.6601039,249.4781048,121373.6188,2.44E-04,0.002050739,0.997705451
Retail sale of other goods in specialised stores,8639,948548.687,1173.790375,443.7796245,946931.117,0.001237459,4.68E-04,0.99829469
Retail sale via stalls and markets,105,12123.984,0,0,12123.984,0,0,1
"Retail trade not in stores, stalls or markets",1929,217400.501,237.825998,271.0342855,216891.6407,0.001093953,0.001246705,0.997659342
"Passenger rail transport, interurban",831,91464.382,544.9297523,335.1443684,90584.30788,0.005957836,0.003664206,0.990377958
Freight rail transport,176,19237.741,150.3256201,170.0149577,18917.40042,0.007814099,0.008837574,0.983348327
Other passenger land transport,3046,335500.707,1504.577068,789.3914026,333206.7385,0.004484572,0.002352876,0.993162552
Freight transport by road and removal services,1233,137957.62,5988.662682,159.4999822,131809.4573,0.043409437,0.001156152,0.95543441
Transport via pipeline,28,2872.793,51.12304762,114.4362619,2707.23369,0.01779559,0.039834496,0.942369913
Sea and coastal passenger water transport,92,10385.322,0,8.044071429,10377.27793,0,7.75E-04,0.999225438
Sea and coastal freight water transport,131,15288.135,113.972,0,15174.163,0.007454932,0,0.992545068
Inland passenger water transport,44,5047.929,16.72623377,6.915142857,5024.287623,0.003313484,0.001369897,0.995316619
Inland freight water transport,38,4152.195,10.32463636,0,4141.870364,0.002486549,0,0.997513451
Passenger air transport,689,76596.182,32.70397045,120.2721028,76443.20593,4.27E-04,0.00157021,0.998002824
Freight air transport and space transport,92,10130.462,78.86361364,27.68466667,10023.91372,0.007784799,0.002732814,0.989482387
Warehousing and storage,470,52897.635,404.8550779,146.2758884,52346.50403,0.007653557,0.002765263,0.989581179
Support activities for transportation,9227,1044419.704,23380.56402,1691.080467,1019348.06,0.022386177,0.001619158,0.975994665
Postal activities under universal service obligation,2130,240272.136,846.3402143,410.0544794,239015.7413,0.003522423,0.001706625,0.994770951
Other postal and courier activities,981,114017.173,438.9357273,72.00864359,113506.2286,0.003849733,6.32E-04,0.995518707
Hotels and similar accommodation,4183,484621.644,141.9455556,156.2600143,484323.4384,2.93E-04,3.22E-04,0.999384663
Holiday and other short-stay accommodation,190,20286.983,11.35890909,0,20275.62409,5.60E-04,0,0.999440089
"Camping grounds, recreational vehicle parks and trailer parks",78,8573.556,0,0,8573.556,0,0,1
Other accommodation,117,12546.739,8.658857143,8.658857143,12529.42129,6.90E-04,6.90E-04,0.998619744
Restaurants and mobile food service activities,6664,814479.326,197.104303,714.5135185,813567.7082,2.42E-04,8.77E-04,0.998880735
Event catering and other food service activities,1650,186502.078,384.8598333,129.7244872,185987.4937,0.002063569,6.96E-04,0.997240865
Beverage serving activities,689,80062.845,0,19.16816667,80043.67683,0,2.39E-04,0.999760586
"Publishing of books, periodicals and other publishing activities",1920,210275.761,33.89323864,57.19442308,210184.6733,1.61E-04,2.72E-04,0.999566818
Software publishing,2984,342309.053,2113.283746,382.8715274,339812.8977,0.006173613,0.001118497,0.99270789
"Motion picture, video and television programme activities",520,59087.131,31.356625,129.7159797,58926.0584,5.31E-04,0.002195334,0.997273982
Sound recording and music publishing activities,250,28271.744,32.79075227,0,28238.95325,0.001159842,0,0.998840158
Radio broadcasting,184,19645.693,22.62892045,7.301777778,19615.7623,0.001151851,3.72E-04,0.998476475
Television programming and broadcasting activities,208,22130.44,33.27966667,0,22097.16033,0.001503796,0,0.998496204
Wired telecommunications activities,310,33196.761,76.63953864,132.2576912,32987.86377,0.002308645,0.003984054,0.993707301
Wireless telecommunications activities,79,8526.431,29.74320833,0,8496.687792,0.003488354,0,0.996511646
Satellite telecommunications activities,15,1635.217,56.85083333,0,1578.366167,0.034766538,0,0.965233462
Other telecommunications activities,151,17858.686,23.1776,0,17835.5084,0.001297833,0,0.998702167
"Computer programming, consultancy and related activities",5119,571834.351,5561.519558,517.162455,565755.669,0.009725753,9.04E-04,0.989369855
"Data processing, hosting and related activities; web portals",289,33161.831,134.0832833,71.35404762,32956.39367,0.004043302,0.002151692,0.993805006
Other information service activities,425,48001.571,36.23807143,28.05945934,47937.27347,7.55E-04,5.85E-04,0.998660512
Monetary intermediation,6274,674511.461,784.6358335,171.9443286,673554.8808,0.001163265,2.55E-04,0.998581818
Activities of holding companies,78,8802.452,62.218,36.91685714,8703.317143,0.007068258,0.004193929,0.988737813
"Trusts, funds and similar financial entities",36,3717.178,37.68458333,0,3679.493417,0.010137955,0,0.989862045
"Other financial service activities, except insurance and pension funding",190,20710.174,0,6.929703704,20703.2443,0,3.35E-04,0.999665396
Insurance,1485,158650.806,112.5264286,154.599861,158383.6797,7.09E-04,9.74E-04,0.998316263
Reinsurance,56,6142.472,11.415,0,6131.057,0.001858372,0,0.998141628
Pension funding,41,4365.116,0,26.49025,4338.62575,0,0.006068625,0.993931375
"Activities auxiliary to financial services, except insurance and pension funding",1090,120238.96,524.9330758,35.9251015,119678.1018,0.004365749,2.99E-04,0.99533547
Activities auxiliary to insurance and pension funding,2468,266893.216,143.8041917,103.5645,266645.8473,5.39E-04,3.88E-04,0.999073155
Fund management activities,68,7810.7,0,0,7810.7,0,0,1
Buying and selling of own real estate,179,19861.489,111.614,25.13925,19724.73575,0.005619619,0.001265728,0.993114653
Renting and operating of own or leased real estate,479,52063.481,142.8773375,102.11945,51818.48421,0.002744291,0.001961441,0.995294268
Real estate activities on a fee or contract basis,1351,145252.481,858.3034967,181.1182863,144213.0592,0.005909045,0.00124692,0.992844034
Legal activities,2695,293576.333,11.608,102.956709,293461.7683,3.95E-05,3.51E-04,0.999609762
"Accounting, bookkeeping and auditing activities; tax consultancy",3648,393495.581,175.0958455,7.270661538,393313.2145,4.45E-04,1.85E-05,0.999536548
Activities of head offices,167,17771.308,43.2453875,19.22833333,17708.83428,0.002433439,0.001081988,0.996484574
Management consultancy activities,2669,296994.485,1402.20049,284.3845192,295307.9,0.004721301,9.58E-04,0.994321157
Architectural and engineering activities and related technical consultancy,4858,534062.57,10458.35575,5375.132582,518229.0817,0.019582641,0.010064612,0.970352747
Technical testing and analysis,1253,137350.162,1850.125987,2799.127943,132700.9081,0.013470141,0.020379502,0.966150357
Research and experimental development on natural sciences and engineering,1956,220136.105,4824.259731,976.1111222,214335.7341,0.021914895,0.004434126,0.973650979
Research and experimental development on social sciences and humanities,305,35152.595,60.32688636,24.40535197,35067.86276,0.001716143,6.94E-04,0.997589588
Advertising,1291,144759.446,55.167675,26.04453704,144678.2338,3.81E-04,1.80E-04,0.999438985
Market research and public opinion polling,180,19952.454,84.558,5.21255,19862.68345,0.004237975,2.61E-04,0.995500776
Specialised design activities,712,78944.851,96.387825,24.5092619,78823.95391,0.001220951,3.10E-04,0.998468588
Photographic activities,394,43908.081,0,17.8065,43890.2745,0,4.06E-04,0.99959446
Translation and interpretation activities,295,33385.62,46.373,0,33339.247,0.001389011,0,0.998610989
"Other professional, scientific and technical activities n.e.c.",1783,197997.402,8444.66812,803.959199,188748.7747,0.042650399,0.004060453,0.953289148
Veterinary activities,620,67148.106,74.57227273,0,67073.53373,0.001110564,0,0.998889436
Renting and leasing of motor vehicles,172,19559.236,20.75563636,40.51008889,19497.97027,0.001061168,0.002071149,0.996867683
Renting and leasing of personal and household goods,166,18283.177,8.602727273,51.75839365,18222.81588,4.71E-04,0.00283093,0.996698543
"Renting and leasing of other machinery, equipment and tangible goods",272,29749.796,267.618263,89.3012881,29392.87645,0.008995634,0.003001745,0.988002622
"Leasing of intellectual property and similar products, except copyrighted works",19,2156.151,0,0,2156.151,0,0,1
Activities of employment placement agencies,353,39293.688,26.30120833,21.58742857,39245.79936,6.69E-04,5.49E-04,0.998781264
Temporary employment agency activities,287,31909.028,183.6355,45.87738242,31679.51512,0.00575497,0.001437756,0.992807274
Other human resources provision,94,10734.728,155.9402303,8.440419433,10570.34735,0.014526705,7.86E-04,0.984687022
Travel agency and tour operator activities,1307,144940.695,157.5457689,16.08177778,144767.0675,0.001086967,1.11E-04,0.998802079
Other reservation service and related activities,192,21845.126,0,6.822666667,21838.30333,0,3.12E-04,0.99968768
Private security activities,1122,126410.804,407.1871818,48.42381481,125955.193,0.003221142,3.83E-04,0.996395791
Security systems service activities,252,28065.714,57.54924242,0,28008.16476,0.002050518,0,0.997949482
Investigation activities,21,2296.17,0,0,2296.17,0,0,1
Combined facilities support activities,3088,341525.577,869.5846349,354.8270181,340301.1653,0.002546177,0.001038947,0.996414876
Cleaning activities,5825,678792.048,5437.12674,466.134578,672888.7867,0.008010004,6.87E-04,0.991303285
Landscape service activities,2156,241350.698,1359.397656,473.639732,239517.6606,0.005632458,0.001962454,0.992405088
Office administrative and support activities,473,52909.221,34.70009318,54.64951204,52819.87139,6.56E-04,0.001032892,0.998311266
Activities of call centres,700,79422.77,18.5289,43.9935,79360.2476,2.33E-04,5.54E-04,0.99921279
Organisation of conventions and trade shows,457,51310.047,19.2509625,24.9562963,51265.83974,3.75E-04,4.86E-04,0.999138429
Business support service activities n.e.c.,2194,241633.269,1558.515164,607.3216479,239467.4322,0.00644992,0.002513402,0.991036678
Administration of the State and the economic and social policy of the community,16277,1743000.146,20835.41832,4708.250881,1717456.477,0.011953767,0.002701234,0.985344999
Provision of services to the community as a whole,7453,843324.517,1315.231931,1028.675374,840980.6097,0.00155958,0.001219786,0.997220634
Compulsory social security activities,3424,367955.622,456.5596259,49.7169881,367449.3454,0.001240801,1.35E-04,0.998624082
Pre-primary education,6788,742279.442,215.8966,11.65288889,742051.8925,2.91E-04,1.57E-05,0.999693445
Primary education,4719,509876.37,771.2042,38.991,509066.1748,0.001512532,7.65E-05,0.998410997
Secondary education,7520,810208.479,600.0846353,99.32087098,809509.0735,7.41E-04,1.23E-04,0.999136759
Higher education,5258,588508.808,2566.535086,886.4674444,585055.8055,0.004361082,0.001506294,0.994132624
Other education,2498,273898.883,342.7678238,58.95340582,273497.1618,0.001251439,2.15E-04,0.998533323
Educational support activities,79,8612.954,47.69687879,12.09882297,8553.158298,0.005537807,0.001404724,0.993057469
