Variable;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;Test;;;;;;
category_rel;brown;;;green;;;neutral;;;;;;;;;
... Occupations in agriculture; forestry; farming; and gardening;0;0%;;243;1.9%;;7678;2.1%;;;;;
... Occupations in production of raw materials and goods; and manufacturing;13074;72.3%;;3773;30.1%;;56300;15.9%;;;;;;;
... Occupations in construction; architecture; surveying and technical building services;;;;;;;;;;;;;;
... Occupations in natural sciences; geography and informatics;;;;;;;;;;;;;;;
... Occupations in traffic; logistics; safety and security;754;4.1%;;5235;42.8%;;42943;12.3%;;;;;;
... Occupations in commercial services; trading; sales; the hotel business and tourism;0;0%;;51;0.4%;;46263;13%;;;;;
... Occupations in business organisation; accounting; law and administration;0;0%;;71;0.6%;;81756;22.4%;;;;;;
... Occupations in health care; the social sector; teaching and education;0;0%;;0;0%;;77395;21.4%;;;;;;
... Occupations in philology; literature; humanities; social sciences; economics; media; art; culture; and design;0;0%;;578;4.5%;;11556;3.3%
... Military occupations;0;0%;;0;0%;;1440;0.5%;;;;;;;;
EF137UG1;18134;;;12377;;;357064;;;;;;;;;
... Crop and animal production;;;;;;;;;;;;;;;;
... Forestry and logging;;;;;;;;;;;;;;;;
... Fishing and aquaculture;;;;;;;;;;;;;;;;
... Mining of coal and lignite;;;;;;;;;;;;;;;;
... Extraction of crude petroleum and natural gas;;;;;;;;;;;;;;;;
... Mining of metal ores;;;;;;;;;;;;;;;;
... Other mining and quarrying;;;;;;;;;;;;;;;;
... Mining support service activities;;;;;;;;;;;;;;;;
... Manufacture of food products;;;;;;;;;;;;;;;;
... Manufacture of beverages;;;;;;;;;;;;;;;;
... Manufacture of tobacco products;;;;;;;;;;;;;;;;
... Manufacture of textiles;;;;;;;;;;;;;;;;
... Manufacture of wearing apparel;;;;;;;;;;;;;;;;
... Manufacture of leather and related products;;;;;;;;;;;;;;;;
... Manufacture of wood and of products of wood and cork;;;;;;;;;;;;;;;;
... Manufacture of paper and paper products;;;;;;;;;;;;;;;;
... Printing and reproduction of recorded media;;;;;;;;;;;;;;;;
... Manufacture of coke and refined petroleum products;;;;;;;;;;;;;;;;
... Manufacture of chemicals and chemical products;;;;;;;;;;;;;;;;
... Manufacture of basic pharmaceutical products and pharmaceutical preparations;;;;;;;;;;;;;;;;
... Manufacture of rubber and plastic products;;;;;;;;;;;;;;;;
... Manufacture of other non-metallic mineral products;;;;;;;;;;;;;;;;
... Manufacture of basic metals;;;;;;;;;;;;;;;;
... Manufacture of fabricated metal products;;;;;;;;;;;;;;;;
... Manufacture of computer;;;;;;;;;;;;;;;;
... Manufacture of electrical equipment;;;;;;;;;;;;;;;;
... Manufacture of machinery and equipment n.e.c.;;;;;;;;;;;;;;;;
... Manufacture of motor vehicles;;;;;;;;;;;;;;;;
... Manufacture of other transport equipment;;;;;;;;;;;;;;;;
... Manufacture of furniture;;;;;;;;;;;;;;;;
... Other manufacturing;;;;;;;;;;;;;;;;
... Repair and installation of machinery and equipment;;;;;;;;;;;;;;;;
... Electricity;;;;;;;;;;;;;;;;
... Water collection;;;;;;;;;;;;;;;;
... Sewerage;;;;;;;;;;;;;;;;
... Waste collection;;;;;;;;;;;;;;;;
... Remediation activities and other waste management services;;;;;;;;;;;;;;;;
... Construction of buildings;;;;;;;;;;;;;;;;
... Civil engineering;;;;;;;;;;;;;;;;
... Specialised construction activities;;;;;;;;;;;;;;;;
... Wholesale and retail trade and repair of motor vehicles and motorcycles;;;;;;;;;;;;;;;;
... Wholesale trade;;;;;;;;;;;;;;;;
... Retail trade;;;;;;;;;;;;;;;;
... Land transport and transport via pipelines;;;;;;;;;;;;;;;;
... Water transport;;;;;;;;;;;;;;;;
... Air transport;;;;;;;;;;;;;;;;
... Warehousing and support activities for transportation;;;;;;;;;;;;;;;;
... Postal and courier activities;;;;;;;;;;;;;;;;
... Accommodation;;;;;;;;;;;;;;;;
... Food and beverage service activities;;;;;;;;;;;;;;;;
... Publishing activities;;;;;;;;;;;;;;;;
... Motion picture;;;;;;;;;;;;;;;;
... Programming and broadcasting activities;;;;;;;;;;;;;;;;
... Telecommunications;;;;;;;;;;;;;;;;
... Computer programming;;;;;;;;;;;;;;;;
... Information service activities;;;;;;;;;;;;;;;;
... Financial service activities;;;;;;;;;;;;;;;;
... Insurance;;;;;;;;;;;;;;;;
... Activities auxiliary to financial services and insurance activities;;;;;;;;;;;;;;;;
... Real estate activities;;;;;;;;;;;;;;;;
... Legal and accounting activities;;;;;;;;;;;;;;;;
"... Activities of head offices; management consultancy activities";;;;;;;;;;;;;;;;
"... Architectural and engineering activities; technical testing and analysis";;;;;;;;;;;;;;;;
... Scientific research and development;;;;;;;;;;;;;;;;
... Advertising and market research;;;;;;;;;;;;;;;;
... Other professional;;;;;;;;;;;;;;;;
... Veterinary activities;;;;;;;;;;;;;;;;
... Rental and leasing activities;;;;;;;;;;;;;;;;
... Employment activities;;;;;;;;;;;;;;;;
... Travel agency;;;;;;;;;;;;;;;;
... Security and investigation activities;;;;;;;;;;;;;;;;
... Services to buildings and landscape activities;;;;;;;;;;;;;;;;
... Office administrative;;;;;;;;;;;;;;;;
"... Public administration and defence; compulsory social security";;;;;;;;;;;;;;;;
... Education;;;;;;;;;;;;;;;;
... Human health activities;;;;;;;;;;;;;;;;
... Residential care activities;;;;;;;;;;;;;;;;
... Social work activities without accommodation;;;;;;;;;;;;;;;;
... Creative;;;;;;;;;;;;;;;;
... Libraries;;;;;;;;;;;;;;;;
... Gambling and betting activities;;;;;;;;;;;;;;;;
... Sports activities and amusement and recreation activities;;;;;;;;;;;;;;;;
... Activities of membership organisations;;;;;;;;;;;;;;;;
... Repair of computers and personal and household goods;;;;;;;;;;;;;;;;
... Other personal service activities;;;;;;;;;;;;;;;;
... Activities of households as employers of domestic personnel;;;;;;;;;;;;;;;;
... Undifferentiated goods- and services-producing activities of private households for own use;;;;;;;;;;;;;;;;
... Activities of extraterritorial organisations and bodies;;;;;;;;;;;;;;;;
