Variable;N;Mean;SD;N;Mean;SD;N;Mean;SD;Test;;;;;;
category_abs;brown;;;green;;;neutral;;;;;;;;;
... 2;000 to < 2;300;1445;17.7%;;163;11.7%;;36142;10.8%;;;;;;
... 2;300 to < 2;600;1194;14.6%;;158;11.4%;;27138;8.1%;;;;;;
... 2;600 to < 2;900;703;8.6%;;93;6.7%;;16866;5.1%;;;;;;
... 2;900 to < 3;200;499;6.1%;;83;6%;;14564;4.4%;;;;;;
... 3;200 to < 3;600;306;3.7%;;94;6.8%;;12767;3.8%;;;;;;
... 3;600 to < 4;0;143;1.8%;;66;4.8%;;8158;2.4%;;;;;;
... 4;000 to < 4;500;72;0.9%;;42;3%;;7117;2.1%;;;;;;
... 4;500 to < 5;0;34;0.4%;;42;3%;;4486;1.3%;;;;;;
... 5;000 to < 5;500;15;0.2%;;19;1.4%;;3045;0.9%;;;;;;
... 5;500 to < 6;0;9;0.1%;;12;0.9%;;1997;0.6%;;;;;;
... 6;000 to < 7;500;6;0.1%;;17;1.2%;;2499;0.7%;;;;;;
... 7;500 to < 10;0;5;0.1%;;8;0.6%;;1573;0.5%;;;;;;
... 10;000 to < 18;0;;;;;;;;;;;;;;
... > 18;0;;;;;;;;;;;;;;;
EF442_num;8170;2.104.266;859.868;1388;2.442.831;1.370.162;333350;2.019.624;1.433.576;F=74.727***;;;;;;
EF114UG4;8533;;;1556;;;377486;;;X2=26623.104***;;;;;;
... Occupations in agriculture; forestry; farming; and gardening;0;0%;;131;8.4%;;7790;2.1%;;;;;
... Occupations in production of raw materials and goods; and manufacturing;6040;70.8%;;486;31.2%;;66621;17.6%;;;;;;;
... Occupations in construction; architecture; surveying and technical building services;1401;16.4%;;536;34.4%;;21267;5.6%;;;;;;
... Occupations in natural sciences; geography and informatics;916;10.7%;;403;25.9%;;13942;3.7%;;;;;;;
... Occupations in traffic; logistics; safety and security;113;1.3%;;0;0%;;48819;12.9%;;;;;;
... Occupations in commercial services; trading; sales; the hotel business and tourism;0;0%;;0;0%;;46314;12.3%;;;;;
... Occupations in business organisation; accounting; law and administration;0;0%;;0;0%;;81827;21.7%;;;;;;
... Occupations in health care; the social sector; teaching and education;0;0%;;0;0%;;77395;20.5%;;;;;;
... Occupations in philology; literature; humanities; social sciences; economics; media; art; culture; and design;63;0.7%;;0;0%;;12071;3.2%
... Military occupations;0;0%;;0;0%;;1440;0.4%;;;;;;;;
EF137UG1;8533;;;1556;;;377486;;;X2=55122.87***;;;;;;
... Crop and animal production;;;;;;;;;;;;;;;;
... Forestry and logging;;;;;;;;;;;;;;;;
... Fishing and aquaculture;;;;;;;;;;;;;;;;
... Mining of coal and lignite;;;;;;;;;;;;;;;;
... Extraction of crude petroleum and natural gas;;;;;;;;;;;;;;;;
... Mining of metal ores;;;;;;;;;;;;;;;;
... Other mining and quarrying;;;;;;;;;;;;;;;;
... Mining support service activities;;;;;;;;;;;;;;;;
... Manufacture of food products;;;;;;;;;;;;;;;;
... Manufacture of beverages;;;;;;;;;;;;;;;;
... Manufacture of tobacco products;;;;;;;;;;;;;;;;
... Manufacture of textiles;;;;;;;;;;;;;;;;
... Manufacture of wearing apparel;;;;;;;;;;;;;;;;
... Manufacture of leather and related products;;;;;;;;;;;;;;;;
... Manufacture of wood and of products of wood and cork;;;;;;;;;;;;;;;;
... Manufacture of paper and paper products;;;;;;;;;;;;;;;;
... Printing and reproduction of recorded media;;;;;;;;;;;;;;;;
... Manufacture of coke and refined petroleum products;;;;;;;;;;;;;;;;
... Manufacture of chemicals and chemical products;;;;;;;;;;;;;;;;
... Manufacture of basic pharmaceutical products and pharmaceutical preparations;;;;;;;;;;;;;;;;
... Manufacture of rubber and plastic products;;;;;;;;;;;;;;;;
... Manufacture of other non-metallic mineral products;;;;;;;;;;;;;;;;
... Manufacture of basic metals;;;;;;;;;;;;;;;;
... Manufacture of fabricated metal products;;;;;;;;;;;;;;;;
... Manufacture of computer;;;;;;;;;;;;;;;;
... Manufacture of electrical equipment;;;;;;;;;;;;;;;;
... Manufacture of machinery and equipment n.e.c.;;;;;;;;;;;;;;;;
... Manufacture of motor vehicles;;;;;;;;;;;;;;;;
... Manufacture of other transport equipment;;;;;;;;;;;;;;;;
... Manufacture of furniture;;;;;;;;;;;;;;;;
... Other manufacturing;;;;;;;;;;;;;;;;
... Repair and installation of machinery and equipment;;;;;;;;;;;;;;;;
... Electricity;;;;;;;;;;;;;;;;
... Water collection;;;;;;;;;;;;;;;;
... Sewerage;;;;;;;;;;;;;;;;
... Waste collection;;;;;;;;;;;;;;;;
... Remediation activities and other waste management services;;;;;;;;;;;;;;;;
... Construction of buildings;;;;;;;;;;;;;;;;
... Civil engineering;;;;;;;;;;;;;;;;
... Specialised construction activities;;;;;;;;;;;;;;;;
... Wholesale and retail trade and repair of motor vehicles and motorcycles;;;;;;;;;;;;;;;;
... Wholesale trade;;;;;;;;;;;;;;;;
... Retail trade;;;;;;;;;;;;;;;;
... Land transport and transport via pipelines;;;;;;;;;;;;;;;;
... Water transport;;;;;;;;;;;;;;;;
... Air transport;;;;;;;;;;;;;;;;
... Warehousing and support activities for transportation;;;;;;;;;;;;;;;;
... Postal and courier activities;;;;;;;;;;;;;;;;
... Accommodation;;;;;;;;;;;;;;;;
... Food and beverage service activities;;;;;;;;;;;;;;;;
... Publishing activities;;;;;;;;;;;;;;;;
... Motion picture;;;;;;;;;;;;;;;;
... Programming and broadcasting activities;;;;;;;;;;;;;;;;
... Telecommunications;;;;;;;;;;;;;;;;
... Computer programming;;;;;;;;;;;;;;;;
... Information service activities;;;;;;;;;;;;;;;;
... Financial service activities;;;;;;;;;;;;;;;;
... Insurance;;;;;;;;;;;;;;;;
... Activities auxiliary to financial services and insurance activities;;;;;;;;;;;;;;;;
... Real estate activities;;;;;;;;;;;;;;;;
... Legal and accounting activities;;;;;;;;;;;;;;;;
"... Activities of head offices; management consultancy activities";;;;;;;;;;;;;;;;
"... Architectural and engineering activities; technical testing and analysis";;;;;;;;;;;;;;;;
... Scientific research and development;;;;;;;;;;;;;;;;
... Advertising and market research;;;;;;;;;;;;;;;;
... Other professional;;;;;;;;;;;;;;;;
... Veterinary activities;;;;;;;;;;;;;;;;
... Rental and leasing activities;;;;;;;;;;;;;;;;
... Employment activities;;;;;;;;;;;;;;;;
... Travel agency;;;;;;;;;;;;;;;;
... Security and investigation activities;;;;;;;;;;;;;;;;
... Services to buildings and landscape activities;;;;;;;;;;;;;;;;
... Office administrative;;;;;;;;;;;;;;;;
"... Public administration and defence; compulsory social security";;;;;;;;;;;;;;;;
... Education;;;;;;;;;;;;;;;;
... Human health activities;;;;;;;;;;;;;;;;
... Residential care activities;;;;;;;;;;;;;;;;
... Social work activities without accommodation;;;;;;;;;;;;;;;;
... Creative;;;;;;;;;;;;;;;;
... Libraries;;;;;;;;;;;;;;;;
... Gambling and betting activities;;;;;;;;;;;;;;;;
... Sports activities and amusement and recreation activities;;;;;;;;;;;;;;;;
... Activities of membership organisations;;;;;;;;;;;;;;;;
... Repair of computers and personal and household goods;;;;;;;;;;;;;;;;
... Other personal service activities;;;;;;;;;;;;;;;;
... Activities of households as employers of domestic personnel;;;;;;;;;;;;;;;;
... Undifferentiated goods- and services-producing activities of private households for own use;;;;;;;;;;;;;;;;
... Activities of extraterritorial organisations and bodies;;;;;;;;;;;;;;;;
