Variable,N,Mean,SD,N,Mean,SD,N,Mean,SD,Test,,,,,,
category_rel,brown,,,green,,,neutral,,,,,,,,,
... Manufacture of electrical equipment,,,,,,,,,,,,,,,,
... Manufacture of machinery and equipment n.e.c.,,,,,,,,,,,,,,,,
... Manufacture of motor vehicles,,,,,,,,,,,,,,,,
... Manufacture of other transport equipment,,,,,,,,,,,,,,,,
... Manufacture of furniture,,,,,,,,,,,,,,,,
... Other manufacturing,,,,,,,,,,,,,,,,
... Repair and installation of machinery and equipment,,,,,,,,,,,,,,,,
... Electricity,,,,,,,,,,,,,,,,
... Water collection,,,,,,,,,,,,,,,,
... Sewerage,,,,,,,,,,,,,,,,
... Waste collection,,,,,,,,,,,,,,,,
... Remediation activities and other waste management services,,,,,,,,,,,,,,,,
... Construction of buildings,,,,,,,,,,,,,,,,
... Civil engineering,,,,,,,,,,,,,,,,
... Specialised construction activities,,,,,,,,,,,,,,,,
... Wholesale and retail trade and repair of motor vehicles and motorcycles,,,,,,,,,,,,,,,,
... Wholesale trade,,,,,,,,,,,,,,,,
... Retail trade,,,,,,,,,,,,,,,,
... Land transport and transport via pipelines,,,,,,,,,,,,,,,,
... Water transport,,,,,,,,,,,,,,,,
... Air transport,,,,,,,,,,,,,,,,
... Warehousing and support activities for transportation,,,,,,,,,,,,,,,,
... Postal and courier activities,,,,,,,,,,,,,,,,
... Accommodation,,,,,,,,,,,,,,,,
... Food and beverage service activities,,,,,,,,,,,,,,,,
... Publishing activities,,,,,,,,,,,,,,,,
... Motion picture,,,,,,,,,,,,,,,,
... Programming and broadcasting activities,,,,,,,,,,,,,,,,
... Telecommunications,,,,,,,,,,,,,,,,
... Computer programming,,,,,,,,,,,,,,,,
... Information service activities,,,,,,,,,,,,,,,,
... Financial service activities,,,,,,,,,,,,,,,,
... Insurance,,,,,,,,,,,,,,,,
... Activities auxiliary to financial services and insurance activities,,,,,,,,,,,,,,,,
... Real estate activities,,,,,,,,,,,,,,,,
... Legal and accounting activities,,,,,,,,,,,,,,,,
... Activities of head offices, management consultancy activities,,,,,,,,,,,,,,,
... Architectural and engineering activities, technical testing and analysis,,,,,,,,,,,,,,,
... Scientific research and development,,,,,,,,,,,,,,,,
... Advertising and market research,,,,,,,,,,,,,,,,
... Other professional,,,,,,,,,,,,,,,,
... Veterinary activities,,,,,,,,,,,,,,,,
... Rental and leasing activities,,,,,,,,,,,,,,,,
... Employment activities,,,,,,,,,,,,,,,,
... Travel agency,,,,,,,,,,,,,,,,
... Security and investigation activities,,,,,,,,,,,,,,,,
... Services to buildings and landscape activities,,,,,,,,,,,,,,,,
... Office administrative,,,,,,,,,,,,,,,,
... Public administration and defence, compulsory social security,,,,,,,,,,,,,,,
... Education,,,,,,,,,,,,,,,,
... Human health activities,,,,,,,,,,,,,,,,
... Residential care activities,,,,,,,,,,,,,,,,
... Social work activities without accommodation,,,,,,,,,,,,,,,,
... Creative,,,,,,,,,,,,,,,,
... Libraries,,,,,,,,,,,,,,,,
... Gambling and betting activities,,,,,,,,,,,,,,,,
... Sports activities and amusement and recreation activities,,,,,,,,,,,,,,,,
... Activities of membership organisations,,,,,,,,,,,,,,,,
... Repair of computers and personal and household goods,,,,,,,,,,,,,,,,
... Other personal service activities,,,,,,,,,,,,,,,,
... Activities of households as employers of domestic personnel,,,,,,,,,,,,,,,,
... Undifferentiated goods- and services-producing activities of private households for own use,,,,,,,,,,,,,,,,
... Activities of extraterritorial organisations and bodies,,,,,,,,,,,,,,,,
