,isco_code,preferredLabel,n_obs,EF952_sum,share_brown_unwtd,share_brown_wtd,share_green_unwtd,share_green_wtd,share_neutral_unwtd,share_neutral_wtd
0,0110,Commissioned armed forces officers,105.0,12347.157,0.0,0.0,0.0,0.0,1.0,1.0
1,0210,Non-commissioned armed forces officers,72.0,9550.961,0.0,0.0,0.0,0.0,1.0,1.0
2,0310,"Armed forces occupations, other ranks",1263.0,168173.179,0.0,0.0,0.0,0.0,1.0,1.0
3,1111,Legislators,113.0,12220.074,0.0,0.0,0.0,0.0,1.0,1.0
4,1112,Senior government officials,211.0,22031.293,0.0,0.0,0.0,0.0,1.0,1.0
5,1114,Senior officials of special-interest organisations,59.0,6118.662,0.0,0.0,0.0,0.0,1.0,1.0
6,1120,Managing directors and chief executives,6730.0,734645.324,0.0,0.0,0.0,0.0,1.0,1.0
7,1211,Finance managers,205.0,22326.529,0.0,0.0,0.0,0.0,1.0,1.0
8,1212,Human resource managers,516.0,54449.928,0.0,0.0,0.0,0.0,1.0,1.0
9,1213,Policy and planning managers,3017.0,326386.385,0.0,0.0,0.0,0.0,1.0,1.0
10,1219,Business services and administration managers not elsewhere classified,39.0,4102.606,0.0,0.0,0.0,0.0,1.0,1.0
11,1221,Sales and marketing managers,1403.0,155541.827,0.0,0.0,0.0,0.0,1.0,1.0
12,1222,Advertising and public relations managers,333.0,36469.322,0.0,0.0,0.0,0.0,1.0,1.0
13,1223,Research and development managers,102.0,11039.419,0.0,0.0,0.0,0.0,1.0,1.0
14,1312,Aquaculture and fisheries production managers,,,,,,,,
15,1321,Manufacturing managers,1467.0,160473.557,0.0,0.0,0.0,0.0,1.0,1.0
16,1322,Mining managers,25.0,2645.023,0.0,0.0,0.0,0.0,1.0,1.0
17,1323,Construction managers,534.0,59876.891,0.0,0.0,0.0,0.0,1.0,1.0
18,1324,"Supply, distribution and related managers",541.0,59673.472,0.0,0.0,0.0,0.0,1.0,1.0
19,1330,Information and communications technology service managers,,,,,,,,
20,1342,Health services managers,519.0,55536.062,0.0,0.0,0.0,0.0,1.0,1.0
21,1343,Aged care services managers,87.0,9410.5,0.0,0.0,0.0,0.0,1.0,1.0
22,1344,Social welfare managers,494.0,52624.425,0.0,0.0,0.0,0.0,1.0,1.0
23,1345,Education managers,461.0,49265.651,0.0,0.0,0.0,0.0,1.0,1.0
24,1346,Financial and insurance services branch managers,177.0,18836.548,0.0,0.0,0.0,0.0,1.0,1.0
25,1349,Professional services managers not elsewhere classified,430.0,46283.945,0.0,0.0,0.002325581,0.002908806,0.997674419,0.997091194
26,1411,Hotel managers,229.0,26546.358,0.0,0.0,0.0,0.0,1.0,1.0
27,1412,Restaurant managers,1306.0,152361.71,0.0,0.0,0.0,0.0,1.0,1.0
28,1420,Retail and wholesale trade managers,15.0,1910.94,0.0,0.0,0.0,0.0,1.0,1.0
29,1431,"Sports, recreation and cultural centre managers",105.0,11522.013,0.0,0.0,0.0,0.0,1.0,1.0
30,1439,Services managers not elsewhere classified,23.0,2544.215,0.0,0.0,0.0,0.0,1.0,1.0
31,2111,Physicists and astronomers,198.0,22013.186,0.0,0.0,0.0,0.0,1.0,1.0
32,2112,Meteorologists,8.0,1019.864,0.0,0.0,0.25,0.25,0.75,0.75
33,2113,Chemists,280.0,31222.474,0.0,0.0,0.0,0.0,1.0,1.0
34,2114,Geologists and geophysicists,99.0,10746.558,0.055555556,0.055555556,0.388888889,0.388888889,0.555555556,0.555555556
35,2120,"Mathematicians, actuaries and statisticians",272.0,30817.301,0.0,0.0,0.0,0.0,1.0,1.0
36,2131,"Biologists, botanists, zoologists and related professionals",322.0,35169.243,0.0,0.0,0.04743083,0.046987244,0.95256917,0.953012756
37,2132,"Farming, forestry and fisheries advisers",315.0,33964.368,0.0,0.0,0.092154195,0.094637929,0.907845805,0.905362071
38,2133,Environmental protection professionals,106.0,12288.46,0.0,0.0,0.979784367,0.980584153,0.020215633,0.019415847
39,2141,Industrial and production engineers,1124.0,122801.704,0.0,0.0,0.0,0.0,1.0,1.0
40,2142,Civil engineers,1544.0,166640.765,0.008257772,0.008464018,0.011981865,0.01131519,0.979760363,0.980220791
41,2143,Environmental engineers,93.0,10312.718,0.0,0.0,1.0,1.0,0.0,0.0
42,2144,Mechanical engineers,2414.0,267500.267,0.0495029,0.049029736,0.004438395,0.004324607,0.946058705,0.946645657
43,2145,Chemical engineers,311.0,33837.751,0.0,0.0,0.0,0.0,1.0,1.0
44,2146,"Mining engineers, metallurgists and related professionals",85.0,9727.695,0.159663866,0.169540457,0.0,0.0,0.840336134,0.830459543
45,2149,Engineering professionals not elsewhere classified,2178.0,240333.18,0.02674472,0.025996319,0.085169881,0.085495774,0.888085399,0.888507907
46,2151,Electrical engineers,1057.0,114986.308,0.106500878,0.106441889,0.107537055,0.107580198,0.785962067,0.785977912
47,2152,Electronics engineers,194.0,21908.671,0.0,0.0,0.0,0.0,1.0,1.0
48,2153,Telecommunications engineers,158.0,17413.907,0.0,0.0,0.0,0.0,1.0,1.0
49,2161,Building architects,1424.0,157411.48,0.0,0.0,0.0,0.0,1.0,1.0
50,2162,Landscape architects,140.0,15.586.769,0.0,0.0,0.0,0.0,1.0,1.0
51,2163,Product and garment designers,418.0,48.080.914,0.0,0.0,0.0,0.0,1.0,1.0
52,2164,Town and traffic planners,216.0,23.429.331,0.0,0.0,0.0,0.0,1.0,1.0
53,2165,Cartographers and surveyors,143.0,15.190.092,0.0,0.0,0.0,0.0,1.0,1.0
54,2166,Graphic and multimedia designers,1133.0,127.885.278,0.0,0.0,0.0,0.0,1.0,1.0
55,2211,Generalist medical practitioners,1898.0,213.488.764,0.0,0.0,0.0,0.0,1.0,1.0
56,2212,Specialist medical practitioners,1853.0,204.242.012,0.0,0.0,0.0,0.0,1.0,1.0
57,2221,Nursing professionals,146.0,15.607.546,0.0,0.0,0.0,0.0,1.0,1.0
58,2222,Midwifery professionals,212.0,23.053.321,0.0,0.0,0.0,0.0,1.0,1.0
