,isco_code,preferredLabel,n_obs,EF952_sum,share_brown_unwtd,share_brown_wtd,share_green_unwtd,share_green_wtd,share_neutral_unwtd,share_neutral_wtd
60,411,General office clerks,9.0,908.311,0.0,0.0,0.666666667,0.666666667,0.333333333,0.333333333
61,412,Secretaries (general),12793.0,1376926.695,0.0,0.0,0.0,0.0,1.0,1.0
62,413,Keyboard operators,2181.0,241784.738,0.0,0.0,0.0,0.0,1.0,1.0
63,421,"Tellers, money collectors and related clerks",3613.0,386401.968,0.0,0.0,0.0,0.0,1.0,1.0
64,422,Client information workers,2844.0,315122.957,0.0,0.0,0.0,0.0,1.0,1.0
65,431,Numerical clerks,4394.0,476836.671,0.0,0.0,0.0,0.0,1.0,1.0
66,432,Material-recording and transport clerks,18861.0,2062890.113,0.0,0.0,0.0,0.0,1.0,1.0
67,441,Other clerical support workers,3740.0,419238.14,0.0,0.0,0.0,0.0,1.0,1.0
68,511,"Travel attendants, conductors and guides",650.0,72697.668,0.0,0.0,0.0,0.0,1.0,1.0
69,512,Cooks,2509.0,295837.836,0.0,0.0,0.0,0.0,1.0,1.0
70,513,Waiters and bartenders,4928.0,576530.769,0.0,0.0,0.0,0.0,1.0,1.0
71,514,"Hairdressers, beauticians and related workers",3091.0,341377.05,0.0,0.0,0.0,0.0,1.0,1.0
72,515,Building and housekeeping supervisors,5601.0,609083.387,0.0,0.0,0.0,0.0,1.0,1.0
73,516,Other personal services workers,1267.0,139997.092,0.0,0.0,0.0,0.0,1.0,1.0
74,521,Street and market salespersons,111.0,12323.216,0.0,0.0,0.0,0.0,1.0,1.0
75,522,Shop salespersons,24048.0,2649122.623,0.0,0.0,0.0,0.0,1.0,1.0
76,523,Cashiers and ticket clerks,1527.0,168190.969,0.0,0.0,0.0,0.0,1.0,1.0
77,524,Other sales workers,902.0,104561.302,0.0,0.0,0.0,0.0,1.0,1.0
78,531,Child care workers and teachers’ aides,1493.0,163442.034,0.0,0.0,0.0,0.0,1.0,1.0
79,532,Personal care workers in health services,3893.0,429745.685,0.0,0.0,0.0,0.0,1.0,1.0
80,541,Protective services workers,3558.0,394237.57,0.0,0.0,0.0,0.0,1.0,1.0
81,611,Market gardeners and crop growers,2442.0,269582.241,0.0,0.0,0.002457002,0.002320145,0.997542998,0.997679855
82,612,Animal producers,269.0,29389.54,0.0,0.0,0.0,0.0,1.0,1.0
83,613,Mixed crop and animal producers,2093.0,222312.581,0.0,0.0,0.0,0.0,1.0,1.0
84,621,Forestry and related workers,189.0,20158.584,0.0,0.0,0.0,0.0,1.0,1.0
85,622,"Fishery workers, hunters and trappers",23.0,2461.424,0.0,0.0,0.0,0.0,1.0,1.0
86,711,Building frame and related trades workers,3685.0,425862.742,0.027251303,0.025901038,0.004541884,0.00431684,0.968206813,0.969782122
87,712,Building finishers and related trades workers,4383.0,510009.182,0.083769511,0.080407167,0.003992699,0.003758544,0.91223779,0.915834289
88,713,"Painters, building structure cleaners and related trades workers",3382.0,385429.006,0.0,0.0,0.0,0.0,1.0,1.0
89,721,"Sheet and structural metal workers, moulders and welders, and related workers",3900.0,436063.982,0.008566434,0.00886425,0.0,0.0,0.991433566,0.99113575
90,722,"Blacksmiths, toolmakers and related trades workers",5473.0,610551.653,0.006583402,0.006520309,0.0,0.0,0.993416598,0.993479691
91,723,Machinery mechanics and repairers,7659.0,850986.727,0.056913523,0.057302363,0.0,0.0,0.943086477,0.942697637
92,731,Handicraft workers,974.0,108381.012,0.0,0.0,0.0,0.0,1.0,1.0
93,732,Printing trades workers,1245.0,137666.929,0.0,0.0,0.0,0.0,1.0,1.0
94,741,Electrical equipment installers and repairers,5840.0,647894.767,0.010861057,0.010711347,0.0237606,0.023544224,0.965378343,0.965744429
95,742,Electronics and telecommunications installers and repairers,2667.0,289217.932,0.011498563,0.011567939,0.0,0.0,0.988501437,0.988432061
96,751,Food processing and related trades workers,1442.0,167020.749,0.0,0.0,0.0,0.0,1.0,1.0
97,752,"Wood treaters, cabinet-makers and related trades workers",2193.0,246282.978,0.0,0.0,0.0,0.0,1.0,1.0
98,753,Garment and related trades workers,948.0,105181.361,0.0,0.0,0.0,0.0,1.0,1.0
99,754,Other craft and related workers,1923.0,212629.601,0.0,0.0,0.0,0.0,1.0,1.0
100,811,Mining and mineral processing plant operators,308.0,33408.861,0.421605915,0.417279888,0.0,0.0,0.578394085,0.582720112
101,812,Metal processing and finishing plant operators,712.0,78481.763,0.052668539,0.052996902,0.0,0.0,0.947331461,0.947003098
102,813,Chemical and photographic products plant and machine operators,951.0,103806.709,0.090431125,0.090364443,0.0,0.0,0.909568875,0.909635557
103,814,"Rubber, plastic and paper products machine operators",680.0,76755.992,0.0,0.0,0.0,0.0,1.0,1.0
104,815,"Textile, fur and leather products machine operators",564.0,61950.327,0.0,0.0,0.0,0.0,1.0,1.0
105,816,Food and related products machine operators,842.0,98215.416,0.0,0.0,0.0,0.0,1.0,1.0
106,817,Wood processing and papermaking plant operators,145.0,15832.115,0.0,0.0,0.0,0.0,1.0,1.0
107,818,Other stationary plant and machine operators,4306.0,483141.533,0.048533253,0.048615435,0.0,0.0,0.951466747,0.951384565
108,821,Assemblers,2094.0,239101.793,0.0,0.0,0.0,0.0,1.0,1.0
109,831,Locomotive engine drivers and related workers,520.0,56698.743,0.0,0.0,0.0,0.0,1.0,1.0
110,832,"Car, van and motorcycle drivers",2721.0,304557.841,0.0,0.0,0.0,0.0,1.0,1.0
111,833,Heavy truck and bus drivers,6497.0,725347.428,0.0,0.0,0.071907314,0.072019711,0.928092686,0.927980289
112,834,Mobile plant operators,2483.0,281292.331,0.023314091,0.023041933,0.0,0.0,0.976685909,0.976958067
113,835,Ships’ deck crews and related workers,26.0,2901.363,0.0,0.0,0.0,0.0,1.0,1.0
114,911,"Domestic, hotel and office cleaners and helpers",10328.0,1188418.999,0.0,0.0,0.0,0.0,1.0,1.0
115,912,"Vehicle, window, laundry and other hand cleaning workers",361.0,43968.262,0.0,0.0,0.0,0.0,1.0,1.0
116,921,"Agricultural, forestry and fishery labourers",1200.0,135607.878,0.0,0.0,0.0,0.0,1.0,1.0
117,931,Mining and construction labourers,1463.0,175486.1,0.008202324,0.007748625,0.0,0.0,0.991797676,0.992251375
118,932,Manufacturing labourers,3351.0,383081.002,0.0,0.0,0.0,0.0,1.0,1.0
119,933,Transport and storage labourers,6395.0,742086.441,0.0,0.0,0.0,0.0,1.0,1.0
120,941,Food preparation assistants,3264.0,385568.918,0.0,0.0,0.0,0.0,1.0,1.0
121,961,Refuse workers,510.0,57909.302,0.0,0.0,0.673856209,0.673845096,0.326143791,0.326154904
122,962,Other elementary workers,1870.0,206029.259,0.0,0.0,0.0,0.0,1.0,1.0
