EF137,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel,,
Sports activities,1675,186.156.761,35.068.000.173.160.100,6.720.479.315.854.710,18.513.403.306.668.200,0.001883789,0.003610118,0.994506093,,
Security systems service activities,252,28.065.714,5.754.924.242.424.240,959.965,2.791.216.825.757.570,0.002050518,0.003420419,0.994529063,,
Retail sale of information and communication equipment in specialised stores,670,74.437.209,2.505.148.755.952.380,24.432.997.875.457.800,7.394.236.414.565.010,0.003365452,0.003282364,0.993352184,,
Libraries,617,67.755.438,6.354.804.200.757.570,21.551.483.939.393.900,669.044.427.405.303,0.009379032,0.003180776,0.987440192,,
Postal activities under universal service obligation,2130,240.272.136,8.463.402.142.857.140,6.725.426.453.200.300,23.875.325.314.039.400,0.003522423,0.002799087,0.993678489,,
Freight air transport and space transport,92,10.130.462,7.886.361.363.636.360,27.684.666.666.666.600,1.002.391.371.969.690,0.007784799,0.002732814,0.989482387,,
Real estate activities on a fee or contract basis,1351,145.252.481,8.583.034.967.032.960,38.924.836.918.081.900,1.440.049.291.341.150,0.005909045,0.002679805,0.991411149,,
Manufacture of magnetic and optical media,134,14.896.956,16.528.242.857.142.800,3.965.843.452.380.950,14.840.769.322.619.000,0.001109505,0.002662184,0.996228312,,
Private security activities,1122,126.410.804,4.071.871.818.181.810,32.180.558.404.558.400,12.568.181.123.413.600,0.003221142,0.002545713,0.994233145,,
Combined facilities support activities,3088,341.525.577,8.695.846.348.817.840,8.084.288.007.233.500,3.398.475.635.643.940,0.002546177,0.002367111,0.995086712,,
Event catering and other food service activities,1650,186.502.078,3.848.598.333.333.330,4.155.064.102.564.100,18.570.171.175.641.000,0.002063569,0.002227892,0.99570854,,
Data processing,289,33.161.831,13.408.328.333.333.300,713.540.476.190.476,3.295.639.366.904.760,0.004043302,0.002151692,0.993805006,,
Buying and selling of own real estate,179,19.861.489,111.614,4.000.617.307.692.300,19.709.868.826.923.000,0.005619619,0.002014259,0.992366123,,
Other postal and courier activities,981,114.017.173,43.893.572.727.272.700,21.860.283.846.153.800,11.335.963.443.426.500,0.003849733,0.00191728,0.994232987,,
Other personal service activities,5159,570.559.824,16.572.816.933.441.500,10.856.238.158.027.100,5.678.169.184.908.530,0.002904659,0.001902734,0.995192607,,
Other telecommunications activities,151,17.858.686,23.177.599.999.999.900,3.336.818.181.818.180,1.780.214.021.818.180,0.001297833,0.001868457,0.99683371,,
Retail sale of food,7377,819.415.392,1.339.637.088.961.030,15.053.012.564.916.500,8.165.704.536.545.470,0.001634869,0.001837043,0.996528088,,
Mixed farming,1780,191.090.647,28.079.773.971.861.400,339.612.276.923.077,1.904.702.369.833.580,0.001469448,0.001777231,0.996753321,,
Software publishing,2984,342.309.053,21.132.837.457.792.200,5.357.340.428.164.420,3.396.600.352.114.040,0.006173613,0.00156506,0.992261327,,
Gambling and betting activities,606,68.993.373,70.49,10.600.182.336.182.300,6.881.688.117.663.810,0.001021692,0.001536406,0.997441902,,
Repair of computers and communication equipment,208,23.101.589,24.747.837.500.000.000,3.339.576.428.571.420,23.043.445.398.214.200,0.001071261,0.001445605,0.997483134,,
Inland passenger water transport,44,5.047.929,16.726.233.766.233.700,6.915.142.857.142.850,5.024.287.623.376.620,0.003313484,0.001369897,0.995316619,,
Computer programming,5119,571.834.351,556.151.955.762.987,7.530.868.960.520.950,5.655.197.445.463.180,0.009725753,0.001316967,0.98895728,,
Management consultancy activities,2669,296.994.485,14.022.004.899.930.900,38.929.937.904.020.200,2.952.029.851.309.660,0.004721301,0.001310797,0.993967902,,
Other social work activities without accommodation,6217,678958.22,13.358.043.757.575.700,7.625.201.485.022.200,6.768.598.954.757.400,0.001967432,0.001123074,0.996909494,,
Activities of head offices,167,17.771.308,432.453.875,1.922.833.333.333.330,17.708.834.279.166.600,0.002433439,0.001081988,0.996484574,,
Other education,2498,273.898.883,3.427.678.238.095.230,28.451.565.856.735.800,27.327.159.951.762.300,0.001251439,0.001038762,0.997709799,,
Satellite telecommunications activities,15,1.635.217,56.850.833.333.333.300,0,15.783.661.666.666.600,0.034766538,0,0.965233462,,
Trusts,36,3.717.178,37.684.583.333.333.300,0,36.794.934.166.666.600,0.010137955,0,0.989862045,,
Sea and coastal freight water transport,131,15.288.135,113.972,0,15.174.163,0.007454932,0,0.992545068,,
Residential care activities for mental retardation,175,19.198.847.999.999.900,10.984.895.384.615.300,0,19.088.999.046.153.800,0.005721643,0,0.994278357,,
Wireless telecommunications activities,79,8.526.431,29.743.208.333.333.300,0,8.496.687.791.666.660,0.003488354,0,0.996511646,,
Inland freight water transport,38,4.152.195,10.324.636.363.636.300,0,4.141.870.363.636.360,0.002486549,0,0.997513451,,
Reinsurance,56,6.142.472,11.415.000.000.000.000,0,6.131.057,0.001858372,0,0.998141628,,
Translation and interpretation activities,295,33385.62,46.373,0,33.339.247,0.001389011,0,0.998610989,,
Sound recording and music publishing activities,250,28.271.744,32.790.752.272.727.200,0,28.238.953.247.727.200,0.001159842,0,0.998840158,,
Hunting  trapping and related service activities,3,324.744,0,0,324.744,0,0,1,,
Gathering of wild growing non-wood products,5,589.032,0,0,589.032,0,0,1,,
Manufacture of articles of fur,5,562.394,0,0,562.394,0,0,1,,
Development of building projects,69,7.490.419,0,0,7.490.419,0,0,1,,
Retail sale via stalls and markets,105,12.123.984,0,0,12.123.984,0,0,1,,
Camping grounds,78,8.573.556,0,0,8.573.556,0,0,1,,
Fund management activities,68,7810.7,0,0,7810.7,0,0,1,,
Leasing of intellectual property and similar products,19,2.156.151,0,0,2.156.151,0,0,1,,
Investigation activities,21,2296.17,0,0,2296.17,0,0,1,,
Retail sale in non-specialised stores,5203,576.179.356,5.541.412.027.056.270,14.441.681.786.426.500,5.741.810.466.186.510,9,,,,
Other human health activities,5141,558.911.513,5.283.919.151.515.150,5.370.674.774.114.770,5.578.460.536.074.370,9,,,,
Manufacture of jewellery,223,24.616.099,20.070.517.857.142.800,3.362.474.030.731.110,21.233.554.451.411.700,8,,,,
Animal production,823,89.822.277,6.817.027.272.727.270,2.842.576.923.076.920,8.946.984.903.496.500,7,,,,
Cutting,247,27.241.208,2.106.118.181.818.180,3.866.216.252.443.600,2.335.393.056.573.820,7,,,,
Building completion and finishing,6276,708.605.927,555.720.716.507.177,32.050.557.730.720.600,6.759.996.485.527.720,7,,,,
Other information service activities,425,48.001.571,3.623.807.142.857.140,6.810.364.395.604.390,4.789.722.928.461.530,7,,,,
Insurance,1485,158.650.806,11.252.642.857.142.800,19.266.238.406.593.400,15.834.561.718.736.200,7,,,,
Secondary education,7520,810.208.479,6.000.846.352.813.850,40.825.043.559.539.800,8.092.001.439.291.230,7,,,,
Other accommodation,117,12.546.739,8.658.857.142.857.140,8.658.857.142.857.140,12.529.421.285.714.200,6,,,,
Activities of employment placement agencies,353,39.293.688,26.301.208.333.333.300,2.158.742.857.142.850,3.924.579.936.309.520,6,,,,
Office administrative and support activities,473,52.909.221,3.470.009.318.181.810,2.781.765.483.621.640,52.596.344.358.456.000,6,,,,
Growing of perennial crops,321,33.220.362,19.912.064.935.064.900,32.915.400.000.000.000,3.316.753.453.506.490,5,,,,
Plant propagation,227,25.212.595,14.365.531.100.478.400,8.576.240.803.718.690,25.112.467.060.862.300,5,,,,
Maintenance and repair of motor vehicles,3475,387.737.127,202.327.295.508.658,21.858.035.077.956.400,36.567.676.462.653.400,5,,,,
Holiday and other short-stay accommodation,190,20.286.983,1.135.890.909.090.900,11.475,2.026.414.909.090.900,5,,,,
Motion picture,520,59.087.131,31.356.625,43.350.876.914.508.400,5.862.226.560.585.490,5,,,,
Activities auxiliary to insurance and pension funding,2468,266.893.216,14.380.419.166.666.600,10.356.450.000.000.000,2.666.458.473.083.330,5,,,,
Manufacture of tobacco products,120,13.591.048,6.019.142.857.142.850,1.008.394.153.209.940,12.576.634.703.932.900,4,,,,
Retail sale of automotive fuel in specialised stores,787,86.311.524,42.294.636.363.636.300,2.664.275.900.863.260,8.600.280.177.355.000,4,,,,
Passenger air transport,689,76.596.182,32.703.970.454.545.400,21.055.376.065.162.900,7.635.292.426.889.380,4,,,,
Accounting,3648,393.495.581,17.509.584.545.454.500,5.089.463.076.923.070,39.326.959.052.377.600,4,,,,
Renting and leasing of personal and household goods,166,18.283.177,8.602.727.272.727.270,6.689.608.595.848.590,18.207.678.186.768.700,4,,,,
Legal activities,2695,293.576.333,11.608,10.295.670.899.470.800,2.934.617.682.910.050,3,,,,
Advertising,1291,144.759.446,55.167.675,12.878.483.459.801.200,14.457.549.349.040.100,3,,,,
Organisation of conventions and trade shows,457,51.310.047,192.509.625,388.515.462.962.963,5.125.194.449.120.370,3,,,,
Social work activities without accommodation for the elderly and disabled,4333,476.325.893,16.359.005.151.515.100,1.584.028.950.841.260,4.745.782.739.976.430,3,,,,
Creative,2109,240.273.371,8.543.134.496.753.240,10.787.521.075.091.500,2.391.091.875.475.230,3,,,,
Amusement and recreation activities,345,38.699.243,14.984.272.727.272.700,30.751.709.145.299.100,3.837.674.163.581.970,3,,,,
Activities of households as employers of domestic personnel,1967,217.370.432,737.625,0,2.172.966.695,3,,,,
Retail sale of cultural and recreation goods in specialised stores,1109,121.652.757,29.660.103.896.103.800,8.933.971.784.289.780,12.072.969.971.767.400,2,,,,
Hotels and similar accommodation,4183,484.621.644,14.194.555.563.186.800,4.277.266.642.857.140,48.405.197.178.008.200,2,,,,
Restaurants and mobile food service activities,6664,814.479.326,19.710.430.303.030.300,957.937.787.749.288,8.133.242.839.092.200,2,,,,
Activities of call centres,700,79422.77,185.289,4.399.350.000.000.000,793.602.476,2,,,,
Pre-primary education,6788,742.279.442,2.158.966,23.305.777.777.777.700,7.420.402.396.222.220,2,,,,
Medical and dental practice activities,8791,955.704.594,19.091.477.803.030.300,6.690.666.666.666.660,9.554.467.725.553.030,2,,,,
Residential nursing care activities,4268,469.491.534,10.268.103.181.818.100,9.056.465.146.520.140,4.692.982.883.167.160,2,,,,
Publishing of books,1920,210.275.761,33.893.238.636.363.600,29.518.750.000.000.000,20.994.668.026.136.300,1,,,,
Treatment and coating of metals,,,,,,,,,,
Manufacture of bodies (coachwork) for motor vehicles,,,,,,,,,,
Manufacture of gas,,,,,,,,,,
